#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:spoink-insertions" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:spoink-insertions" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:spoink-insertions" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.spoink-insertions" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:spoink-insertions" name="distribution" x="@birthRate.t:spoink-insertions">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@spoink-insertions" id="treeLikelihood.spoink-insertions" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:spoink-insertions">
#            <siteModel id="SiteModel.s:spoink-insertions" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:spoink-insertions" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:spoink-insertions" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:spoink-insertions" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:spoink-insertions" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:spoink-insertions" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:spoink-insertions" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate
29000	-26028.102561394775	-26256.640042353	228.53748095822482	-26256.640042353	0.09660557473100727	0.44560930945529753	228.53748095822482	154.30046484162943
30000	-26033.340276391562	-26263.375602263928	230.03532587236757	-26263.375602263928	0.08803050085667852	0.4310573800933961	230.03532587236757	111.20416057610873
31000	-26033.344365589506	-26262.33862409608	228.99425850657417	-26262.33862409608	0.0950644896877212	0.44587102655970484	228.99425850657417	120.83385051747271
32000	-26031.57670996932	-26255.5583286837	223.98161871438057	-26255.5583286837	0.10165955785145835	0.4639716935456679	223.98161871438057	91.34029426007821
33000	-26021.07610221612	-26248.533138936957	227.4570367208371	-26248.533138936957	0.09619240811438509	0.44008554689960405	227.4570367208371	98.45049819174346
34000	-26025.43394647156	-26255.58488873839	230.15094226683058	-26255.58488873839	0.09756187204667288	0.438946803255171	230.15094226683058	133.05883593155386
35000	-26032.578996198565	-26258.16437797854	225.58538177997667	-26258.16437797854	0.1009372204436841	0.46179354386385496	225.58538177997667	159.59933819308577
36000	-26031.38734724445	-26261.219096372926	229.83174912847707	-26261.219096372926	0.09728170591913154	0.43979654065306417	229.83174912847707	145.73804249126658
37000	-26033.933977826175	-26263.43673448057	229.5027566543947	-26263.43673448057	0.09498038750150854	0.44364364799180184	229.5027566543947	136.75708561942346
38000	-26034.748238350265	-26265.919031599118	231.1707932488543	-26265.919031599118	0.0906062492195142	0.43143960332754316	231.1707932488543	137.53022024517782
39000	-26051.600781112684	-26280.40761415312	228.80683304043538	-26280.40761415312	0.09291495782534448	0.4377925030773438	228.80683304043538	167.51099066175192
40000	-26037.40465861136	-26268.932059995048	231.52740138368722	-26268.932059995048	0.09535499273199907	0.42791086945509166	231.52740138368722	147.19478761112342
41000	-26032.482400615638	-26262.66166800792	230.17926739228224	-26262.66166800792	0.09545951985209264	0.43838611252355436	230.17926739228224	129.11419151765625
42000	-26027.529250100073	-26257.42660387103	229.89735377095852	-26257.42660387103	0.09261609983450826	0.4387259514941322	229.89735377095852	148.16697823983458
43000	-26041.76111863821	-26267.138334174266	225.37721553605732	-26267.138334174266	0.09275320374480245	0.44126185421021064	225.37721553605732	192.68937730473266
44000	-26028.344406095704	-26256.75288319422	228.40847709851636	-26256.75288319422	0.09371410336318607	0.44470458425216075	228.40847709851636	109.97426767075221
45000	-26027.125275397062	-26256.369053818693	229.24377842163048	-26256.369053818693	0.09628090295230218	0.4441247391204891	229.24377842163048	121.74381171188666
46000	-26014.739587271553	-26244.463513035273	229.7239257637179	-26244.463513035273	0.09564725191779896	0.44026925159596475	229.7239257637179	146.79332399050008
47000	-26019.974885754367	-26248.17044536241	228.1955596080454	-26248.17044536241	0.09786085703170264	0.44637470208099034	228.1955596080454	109.65251567377054
48000	-26022.033016666323	-26250.775109692895	228.74209302657152	-26250.775109692895	0.09571356321260763	0.4473969165138358	228.74209302657152	119.29378278848203
49000	-26019.941588426558	-26250.715610410687	230.7740219841291	-26250.715610410687	0.09044599877403861	0.43026508282354686	230.7740219841291	119.11149497774666
50000	-26023.45780681855	-26251.94316163586	228.48535481730775	-26251.94316163586	0.09417877146462858	0.4439890261841228	228.48535481730775	109.95465345413767
51000	-26028.330680119598	-26259.797723581567	231.4670434619688	-26259.797723581567	0.09029689863319237	0.4288903682687525	231.4670434619688	143.55364249748132
52000	-26018.67173673055	-26246.54722219972	227.87548546916804	-26246.54722219972	0.10111015061125642	0.45102841181457853	227.87548546916804	111.98989438899491
53000	-26031.401067773277	-26256.766094352948	225.3650265796713	-26256.766094352948	0.10256596518954385	0.4634493302987194	225.3650265796713	159.12836757944476
54000	-26026.014728101425	-26255.144505856202	229.12977775477805	-26255.144505856202	0.09448913379843048	0.44653745230785563	229.12977775477805	134.87943351034855
55000	-26028.547808226318	-26256.76431718781	228.21650896149373	-26256.76431718781	0.09552705281105627	0.44289466299466124	228.21650896149373	164.48863232121232
